run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61
0.0021,0.0021,0.047,0.0224,0.0163,0.0144,0.2084,0.0479,0.041,0.0273,0.2366,0.2448,0.0789,0.1273,0.0105,0.0105,0.0496,0.0773,0.006,0.0042,0.0102,0.0051,0.0139,0.0082,0.0052,0.0673,0.0175,0.0246,0.0376,0.0187,0.1207,0.1251,0,0,0.0614,0.0607,0.001,3e-04,7e-04,0.0202,0.0026,0.0022,0.0131,0,0.0032,0.0042,0.0092,0.0128,0.0354,0.0316,0.0212,0.0014,0.001,0.0522,0.0192,0.0049,0.004,0.2574,0.2215,0.0043,0.0203
0.1087,0.1104,0.0953,0.0396,0.0247,0.07,0.0493,0.044,0.0616,0.122,0.1488,0.1409,0.0114,0.0357,0.03,0.0319,0.0396,0.0396,0.0661,0.0328,0.0651,0.0286,0.1295,0.0363,0.0284,0.0453,0.0221,0.0185,0.0919,0.0826,0.0604,0.0693,0.0141,0.0199,0.0399,0.0309,3e-04,0,0.0135,0.0353,0.0108,0.0074,0.1057,0,0.0223,0.0138,0.0658,0.0681,0.0584,0.0505,0.079,0.0203,0.0276,0.095,0.0635,0.1232,0.1402,0.1057,0.0932,0.0861,0.0513
0.8,0.8,0.196,0.2014,0.5683,0.6665,0.76,0.76,0.8052,0.8,0.6835,0.875,0.6,0.6206,0.7205,0.7178,0.7831,0.7971,0.7939,0.7764,0.7767,0.7764,0,0.8059,0.0368,0.6813,0.2636,0.422,0.7163,0.6123,0.7011,0.7085,0.1038,0.0171,0.717,0.717,0.1276,0.4674,0.7,0.5723,0.1167,0.12,0.6104,0.1028,0.4195,0.5586,0.8,0.8,0.876,0.8265,0.7106,0.3506,0.5375,0.8214,0.7,0.6127,0.8512,0.8818,0.86,0.7889,0.7608
0.0261,0.0195,0.0724,0.0784,0.0547,0.1334,0.2582,0.2352,0.2061,0.1557,0.279,0.2882,0.186,0.2708,0.152,0.1498,0.2203,0.2632,0.1453,0.0531,0.1365,0.0527,0.0054,0.2548,0.0862,0.3262,0.1248,0.13,0.0294,0.0978,0.2629,0.2412,0.0456,0.0865,0.1637,0.1806,0.0075,0,0.0377,0.1123,0.0829,0.0808,0.0918,2e-04,0.0244,0.0261,0.1967,0.2482,0.2133,0.231,0.1593,0.0769,0.1207,0.2452,0.1312,0.1036,0.2469,0.2726,0.2909,0.1561,0.2611
2e-04,2e-04,0.0286,0.0223,0.0269,0.0228,0.0015,0.0024,0.0552,0.0378,0.0793,0.0749,0.0925,0.0882,0.0396,0.0393,0.0574,0.0534,0.0165,0.0067,0.0152,0.0075,3e-04,0.0731,0.02,0.166,0.0203,0.0231,0.0047,0.0085,0.0646,0.0411,0.0184,0.0068,0.0079,0.0082,9e-04,4e-04,0.004,0.0134,0.0048,0.0051,0.0159,0,0.0049,0.0069,0.0715,0.0738,0.0644,0.0726,0.0211,0.023,0.0248,0.0445,0.0239,0.0291,0.025,0.0641,0.0543,0.0583,0.0184
0.0017,0.0012,0.0097,0.0133,0.1514,0.0614,0.0028,0.0148,0.0523,0.1956,0.002,0.071,0.0807,0.0533,0.2461,0.2726,0.0712,0.2028,0.0103,0.0544,0.0083,0.0518,1e-04,0.0381,0.3085,0.0231,0.0559,0.0848,0.0153,0.0136,0.005,0.0043,0.0081,0.0019,0.0455,0.0227,1e-04,0,0.113,0.0336,0.1145,0.2412,0.031,0,0.1046,0.1312,0.2846,0.3459,0.1121,0.2208,0.005,0.0816,0.0736,0.127,0.2646,0.3691,0.2662,0.0169,0.0221,0.1426,0.01
0.1844,0.1844,0.2585,0.2396,0.1008,0.1231,0.1415,0.0354,0.098,0.3314,0.2294,0.2296,0.1013,0.1562,0.3133,0.322,0.1194,0.126,0.1296,0.1993,0.1309,0.1923,0.1809,0.1306,0.3214,0.3042,0.1286,0.202,0.3235,0.1523,0.3259,0.3347,0.1233,0.1888,0.2312,0.1894,0.1018,0.0019,0.1687,0.1816,0.325,0.3506,0.2951,1e-04,0.0973,0.0973,0.3349,0.2798,0.1878,0.194,0.1333,0.1859,0.1765,0.1305,0.3788,0.3822,0.1395,0.1115,0.1063,0.2986,0.1299
0.006,0.0107,0.2013,0.1707,0.0381,0.1316,0.2183,0.1893,0.1917,0.1188,0.3846,0.3568,0.2288,0.2828,0.2109,0.2033,0.2582,0.3228,0.0715,0.0337,0.0834,0.031,0.02,0.2963,0.0332,0.2541,0.1785,0.189,0.0059,0.1008,0.3496,0.342,0.0521,0.0902,0.0571,0.0598,0.0013,0.0513,0.0189,0.1683,0.0526,0.0282,0.0467,0,0.0389,0.0389,0.2762,0.3356,0.2663,0.3089,0.1302,0.0189,0.054,0.1166,0.0048,0.0112,0.1316,0.4509,0.3973,0.1771,0.0452
0.4488,0.4503,0.3905,0.3793,0.31,0.4693,0.6043,0.385,0.6571,0.6676,0.5334,0.4666,0.4809,0.5836,0.6018,0.5991,0.6055,0.5904,0.5419,0.2954,0.5392,0.294,5e-04,0.6405,0.6065,0.618,0.2461,0.2774,0.5434,0.512,0.5747,0.6087,0.3768,0.4825,0.5632,0.5186,0.0361,0.0179,0.3434,0.4736,0.5078,0.5714,0.5607,0.0081,0.234,0.205,0.5813,0.5909,0.6041,0.5869,0.5561,0.4376,0.4807,0.6659,0.6018,0.6603,0.6687,0.4852,0.4605,0.6195,0.6468
1e-04,2e-04,0.0817,0.2589,0.1047,0.4636,0.1705,0.1494,0.4833,0.0113,0.0368,0.1673,0.1664,0.1464,0.2179,0.2196,0.6138,0.6022,0.0662,0.0044,0.0525,0.0026,1e-04,0.5524,0.0044,0.5952,0.0174,0.0242,0.0012,0.2282,0.3645,0.3343,5e-04,1e-04,0.0887,0.0801,1e-04,3e-04,0.0071,0.4565,0.2166,0.2056,0.0379,0,0.0033,0.0034,0.012,0.0238,0.4193,0.4414,0.2292,0.0787,0.1981,0.1206,0.002,0.0011,0.0752,0.1474,0.1456,0.2161,0.4975
0.1281,0.1728,0.2949,0.2771,0.1961,0.3189,0.3928,0.313,0.3481,0.4014,0.2248,0.2448,0.0806,0.0153,0.371,0.3799,0.3155,0.3735,0.3301,0.1905,0.3257,0.1893,0.0306,0.3095,0.17,0.4471,0.1246,0.2139,0.185,0.3775,0.4258,0.3771,0.0949,0.0986,0.1581,0.1597,0,0,0.2519,0.2599,0.2627,0.2479,0.1833,0,0.2571,0.2432,0.3559,0.3233,0.3837,0.3714,0.3398,0.2989,0.3809,0.3463,0.3106,0.3537,0.3708,0.2268,0.216,0.1939,0.1905
1,1,1,0.75,0.4861,1,0.5764,0.0154,0.0213,0.0031,1,1,0.5149,0.9167,0.0167,0.0176,0.6458,0.95,0.525,0.5429,0.5012,0.5429,0.0894,0.2054,0.006,0.5,0.2348,0.5486,0.2346,0.6667,0.7333,0.3708,0.1491,0.0209,0.8042,0.8042,3e-04,0,0.95,1,0.0959,0.1533,1,0,0.0446,0.0573,0.875,0.9167,0.95,0.95,0.5903,0.0428,0.1742,0.9167,0.1345,0.2376,0.7269,1,1,0.0075,0.625
0.1301,0.1301,0.1955,0.1547,0.1994,0.0127,0.4965,0.4618,0.0077,0.0404,0.1652,0.1402,0.1758,0.142,0.1298,0.1304,0.1661,0.2595,0.1968,0.1974,0.1607,0.1968,0.0372,0.0094,0.0246,0.3811,0.3525,0.3197,0.1118,0.0997,0.3605,0.3069,0.044,0.0934,0.1623,0.1764,0.2288,0,0.3589,0.388,0.0076,0.0113,0.4234,0,0.0623,0.0123,0.2234,0.1402,0.2232,0.1973,0.0239,0.0049,0.006,0.1019,0.187,0.0862,0.3582,0.1315,0.1408,0.1236,0.1537
0.037,0.0347,0.0462,0.024,0.0538,0.0488,0.1215,0.1198,0.0199,0.0599,0.2079,0.0112,0.0639,0.1168,0.1069,0.109,0.0188,0.0817,0.0044,0.0171,0.0068,0.0167,0.0078,0.0086,0.0526,0.0833,0.0096,0.0073,0.114,0.0125,0.0709,0.0631,8e-04,1e-04,0.195,0.1728,5e-04,4e-04,0.0328,0.0189,0.0397,0.0426,0.1546,0,0.0185,0.0162,0.0301,0.0288,0.0214,0.023,0.0047,0.0111,0.0077,0.0134,0.0314,0.036,0.0293,0.0527,0.0698,0.0045,4e-04
0.5629,0.5629,0.4369,0.0338,0.6151,0.7465,0.7203,0.7229,0.8228,0.7161,0.3681,0.0998,0.5687,0.6692,0.7993,0.8036,0.8049,0.8065,0.7095,0.6595,0.7151,0.6598,4e-04,0.8137,0.8108,0.8171,0.6528,0.6717,0.5535,0.6934,0.7289,0.7141,0.6651,0.7653,0.4244,0.5163,0.4892,0.0042,0.5988,0.7005,0.7062,0.7013,0.7539,0.0246,0.4077,0.4487,0.8388,0.8193,0.8253,0.8322,0.6084,0.6248,0.6717,0.7628,0.7329,0.7504,0.7451,0.538,0.6524,0.7693,0.7132
0.0159,0.0159,0.1784,0.176,0.0964,0.1212,0.0785,0.0657,0.1264,0.0664,0.1829,0.1549,0.1,0.0575,0.2439,0.2437,0.2351,0.2327,0.1413,0.0163,0.1411,0.0161,0.007,0.2468,0.0688,0.4154,0.0026,0.0176,0.0161,0.1517,0.1345,0.1274,0.1549,0.1554,0.6702,0.6632,1e-04,0,0.0184,0.0413,0.0373,0.0181,0.2048,3e-04,0.1073,0.1414,0.0216,0.0315,0.1136,0.1282,0.1086,0.0029,0.0094,0.3833,0.0411,0.0452,0.0498,0.6879,0.7171,0.1182,0.3424
0,0,0,0,0.0036,3e-04,0,0,5e-04,5e-04,0.0021,0.0037,4e-04,0.0057,0.0015,0.0014,6e-04,0,7e-04,0.0013,7e-04,0.0011,0,6e-04,0.001,0,0.0044,0.004,0,0.0011,0.0013,9e-04,4e-04,5e-04,0.0058,0.0043,0.0045,7e-04,0.003,0.0023,7e-04,9e-04,7e-04,0,0.0011,0.0012,0.0017,0.0024,6e-04,0.001,0,0.0013,0.0012,4e-04,0.0046,0.0013,0.0036,0.0125,0.0083,7e-04,0
7e-04,0.0144,0.0959,0.069,0.0078,0.0436,0.0276,0.0276,0.0224,0.0036,0.0182,0.0425,0.0407,0.0179,0.012,0.0135,0.0128,0.0165,0.0046,0.0035,0.0082,0.001,0.0035,0.0069,0.0021,0.2105,0.0423,0.045,0.0078,0.0239,0.0033,0.0045,0.0085,0.0035,0.0476,0.0561,0,0,0.0285,0.0244,0.0217,0.0439,0.0318,0,0.0748,0.0295,0.0185,0.0195,0.0394,0.0235,0.0336,0.0167,0.0591,0.0156,0.028,0.0124,0.0197,0.0949,0.1424,0.0034,0.0036
0.0235,0.0113,0.1658,0.0768,0.0119,0.0317,0.0227,0.0227,0.053,0.0306,0.1322,0.1232,0.2332,0.2512,0.0249,0.0247,0.0369,0.0448,0.0014,3e-04,0.0025,7e-04,0.0175,0.0347,0.0286,0.1439,0.0042,0.0064,0.0348,0.0178,0.0393,0.0576,0.0053,0.0016,0.0257,0.0276,6e-04,0,0.0053,0.0095,0.0448,0.0173,0.0581,0,0.0075,0.0075,0.0633,0.0742,0.0478,0.0486,0.0198,0.0069,0.0107,9e-04,1e-04,1e-04,0.0769,0.3444,0.3118,0,5e-04
0.1108,0.1236,0.4069,0.0102,0.048,0.4998,0.4865,0.4447,0.5762,0.2437,0.1008,0.447,0.1858,0.5171,0.0401,0.0419,0.4866,0.5093,0.4856,0.055,0.4559,0.0509,0.171,0.5205,0.0456,0.5321,0.296,0.307,0.0512,0.4467,0.5799,0.5804,0.1554,0.3726,0.1666,0.1748,0.0044,0,0.1148,0.4355,0.0997,0.0276,0.1034,0.0014,0.0246,0.0246,0.3378,0.4411,0.5595,0.5437,0.3382,0.0217,0.0879,0.5253,0.1405,0.2546,0.4821,0.5995,0.5799,0.3943,0.4317
0.0873,0.0943,0.4606,0.3296,0.0619,0.1409,0.2867,0.2422,0.1631,0.0392,0.378,0.4559,0.0812,0.1745,0.0812,0.0833,0.158,0.3303,0.3572,0.1446,0.3471,0.1423,0.0227,0.2338,0.0445,0.4258,0.2396,0.2189,0.1113,0.3685,0.4248,0.4212,0.2684,0.3226,0.2298,0.2495,1e-04,0.0246,0.0749,0.1946,0.0384,0.0341,0.0811,0,0.0268,0.0508,0.0948,0.0808,0.2793,0.2507,0.0841,0.0228,0.0612,0.2121,0.0449,0.0606,0.145,0.3263,0.3562,0.149,0.2722
0.4221,0.3996,0.2189,0.2949,0.1749,0.205,0.2145,0.2145,0.1143,0.1071,0.2626,0.2626,0.2883,0.2862,0.1034,0.1121,0.1714,0.254,0.2421,0.2026,0.2238,0.1973,0.0562,0.1877,0.1259,0.3411,0.3018,0.3114,0.2905,0.3558,0.2602,0.2354,0.1704,0.1943,0.2073,0.1712,0.0237,0,0.1792,0.2524,0.1221,0.2392,0.2235,0.0153,0.1182,0.1206,0.2098,0.1932,0.2506,0.2388,0.1636,0.1462,0.1788,0.2354,0.2291,0.2992,0.242,0.3293,0.4333,0.1294,0.1455
0.2574,0.2771,0.6004,0.54,0.3218,0.2734,0.4508,0.4516,0.427,0.4235,0.5591,0.2632,0.1404,0.5191,0.6371,0.6345,0.6241,0.5268,0.1742,0.2178,0.1458,0.1884,0.0015,0.5328,0.5403,0.2332,0.4963,0.5074,0.3977,0.1817,0.1645,0.3227,0.2324,0.3668,0.5673,0.5267,0,0.0022,0.1357,0.0988,0.2175,0.3804,0.4774,0.002,0.5211,0.4243,0.5926,0.6188,0.4416,0.5546,0.1696,0.4148,0.4388,0.3312,0.6027,0.4939,0.2875,0.1957,0.1895,0.4862,0.5816
0.0323,0.0323,0.4602,0.3252,0.1297,0.167,0.3937,0.404,0.4479,0.149,0.6537,0.7617,0.2072,0.2544,0.22,0.2216,0.6074,0.6077,0.0996,0.0279,0.0979,0.0289,0.0144,0.6451,0.6657,0.54,0.4315,0.4435,0.0666,0.217,0.5788,0.705,0.0896,0.0124,0.56,0.5601,0.0412,0.0043,0.0478,0.267,0.2473,0.189,0.1619,1e-04,0.0185,0.0324,0.6018,0.6829,0.5885,0.6289,0.2447,0.0921,0.1772,0.4538,0.1601,0.1374,0.3727,0.6715,0.7009,0.077,0.2184
